,Unnamed: 0,Name,language,genra,chapters,type,status,authors,published,score,views
11064,11064,The Role Of The Villainess Is No More!,EN/JA,"Fantasy,Romance,SliceofLife",Chap 18,Manga,Publishing,"Tsuki,Tsubaki(Story),Kouramaru","Jun16,2020to?",,1592
11065,11065,The Rookie Heroes' Menu: Nogi Wakaba is a Hero Spin-out 4-koma,EN,"Comedy,Fantasy,SliceofLife",Chap 7,Manga,Publishing,,?,,64
11066,11066,The Roommate Agreement,EN,"Comedy,Drama,Romance",Chap 56,Manhwa,Finished,,?,,2266
11067,11067,The Royal Tutor,JA,Comedy,Chap 84,Manga,Publishing,"Akai,Higasa(Story&Art)","Nov18,2013toMay18,2021",7.88,1090
11068,11068,The Rubelia Kingdom's Tale: I Ended up Cleaning My Younger Cousin's Mess,EN/JA,"Fantasy,Romance",Chap 12,Manga,Publishing,,?,,2396
11069,11069,The Runaway Flower Boy and the Young Girl,EN,"Romance,Shoujo",Chap 2,Manhua,Publishing,,?,,142
11070,11070,The Runway,EN,"Drama,Josei,Romance",Chap 112,Manhwa,Publishing,,?,,10358
11071,11071,The Ruthless Emperor Is Doting on the Hostage Princess,JA,"Fantasy,Shoujo",Chap 5,Manga,Publishing,,?,,255
11072,11072,The S-Classes That I Raised,EN/KO,"Action,Adventure,Comedy",Chap 153,Manhwa,Publishing,,?,,103920
11073,11073,The Sacred Sword Blacksmith,EN/JA,"Action,Adventure,Fantasy",Chap 61,Manga,Publishing,"Yamada,Koutarou,Miura,Isao","Mar27,2009toJan27,2017",7.26,3673
11074,11074,The Saga of Lioncourt,EN/JA,"Action,Adventure,Drama",Chap 35,Manga,Finished,"Ogura,Hiroaki(Story),Nagy","Sep6,2019to?",,6110
11075,11075,The Saga of Tanya the Evil,EN/JA,"Magic,Military",Chap 101,Manga,Publishing,"Toujou,Chika(Art),Zen,Carlo","Apr26,2016to?",8.3,72387
11076,11076,The Saint Whose Engagement Was Broken When She Became Too Perfect Is Sold off to a Neighboring Kingdom,EN/JA,"Drama,Fantasy,Romance",Chap 10,Manga,Publishing,,?,,4149
11077,11077,"The Saint's Belated Happiness: Newly Single, Now Living with the Demon Prince",JA,"Fantasy,Josei,Romance",Chap 15,Manga,Publishing,,?,,287
11078,11078,The Saint's Magic Power is Omnipotent: The Other Saint,EN/JA,"Fantasy,Romance",Chap 38.5,Manga,Publishing,"Ao,Agu(Story&Art)","Oct5,2020to?",,8470
11079,11079,"The Saintess Wants Overtime Pay: I Don't Want the Prince, I Want Money",EN/JA,"Comedy,Seinen,SliceofLife",Chap 1,Manga,Publishing,,?,,663
11080,11080,The Saintess Was Summoned a Long Time Ago. To Japan.,EN/JA,"Fantasy,Seinen,SliceofLife",Chap 16,Manga,Publishing,,?,,1631
11081,11081,The Sakazuki Stepbrothers,EN,"Comedy,SliceofLife",Chap 30,Manga,Finished,Saho(Story&Art),"Mar28,2017toSep25,2018",7.09,773
11082,11082,The Savior <<Messiah>> ~The former hero who saved another world beats the real world full of monsters~,EN/JA,"Fantasy,Seinen",Chap 43,Manga,Publishing,,?,,24650
11083,11083,The Savior's Time,EN,"Drama,Mystery,Psychological",Chap 59,Manhwa,Finished,,?,,937
11084,11084,The Savior’s Bucket List,EN,"Action,Drama,Fantasy",Chap 51,Manhwa,Publishing,,?,,6265
11085,11085,The Scandalous Secret of the Crown Princess,EN,"Drama,Historical,Romance",Chap 88,Manhwa,Finished,,?,,1015
11086,11086,The Scholar Warrior,EN,"Action,Adventure,Drama",Chap 66,Manhwa,Publishing,,?,,5824
11087,11087,The Scorching Witch’s Fun Management Of A Hot Spring Territory,JA,Adventure,Chap 14,Manga,Finished,,?,,545
11088,11088,The Screw People,EN/JA,"Comedy,School",Chap 25,Manga,Finished,"Wakaki,Tamiki","Feb18,2015toDec15,2016",,310
11089,11089,The Script Shop of Dream,EN,"Adventure,Fantasy,Historical",Chap 1,Manhua,Publishing,,?,,223
11090,11090,The Scum Of Good And Evil,JA,"Action,Drama,Seinen",Chap 37,Manga,Finished,"Watanabe,Daisuke(Story&Art)","Nov18,2013toMar14,2016",6.77,996
11091,11091,The Seamstress Girl,EN,"Drama,Fantasy,Magic",Chap 15,Manga,Publishing,"Zeroki(Story),Yukimura,Yuni","Jul26,2019to?",,522
11092,11092,The Second Coming of Gluttony,EN,"Action,Adventure,Drama",Chap 109,Manhwa,Publishing,,?,,66245
11093,11093,The Second Lead Syndrome,EN,Drama,Chap 30,Manhwa,Publishing,,?,,314
11094,11094,"The Second Life Cheat Reincarnation Mage: If the Strongest Reincarnated After 1000 Years, Life Would Be Too Easy",EN/JA,"Action,Fantasy,School",Chap 25,Manga,Publishing,"Ishigo,Chidori(Art),Utsuzawa,Shikiso","Sep1,2020to?",,7588
11095,11095,The secret Ai-chan,EN,"Comedy,Drama,Romance",Chap 22.5,Manga,Finished,Kaori(Story&Art),"Jul24,2009toSep24,2014",7.67,230
11096,11096,The Secret Bedroom of the Forsaken Princess,EN,"Fantasy,Harem,Josei",Chap 24,Manhwa,Publishing,,?,,11480
11097,11097,The Secret Etiquette of Lady Takashima,EN,"Comedy,Ecchi,School",Chap 28,Manga,Publishing,Mikipon(Story&Art),"Apr26,2018to?",6.46,4143
